time, event, related key, current phrase, current input
20802, Key Selected, Space, never too rich and never too thin, never too
21362, Key Press, Space, never too rich and never too thin, never too
21564, Pause Ended, Space, never too rich and never too thin, never too 
21581, Key Selected, Space, never too rich and never too thin, never too 
21662, Key Deselected, Space, never too rich and never too thin, never too 
21680, Key Deselected, Space, never too rich and never too thin, never too 
21697, Key Deselected, Space, never too rich and never too thin, never too 
21701, Key Selected, F, never too rich and never too thin, never too 
21747, Key Deselected, F, never too rich and never too thin, never too 
21814, Key Deselected, F, never too rich and never too thin, never too 
21818, Key Selected, T, never too rich and never too thin, never too 
21998, Key Deselected, T, never too rich and never too thin, never too 
22002, Key Selected, R, never too rich and never too thin, never too 
22561, Key Press, R, never too rich and never too thin, never too 
22763, Pause Ended, R, never too rich and never too thin, never too r
22780, Key Selected, R, never too rich and never too thin, never too r
22879, Key Deselected, R, never too rich and never too thin, never too r
22896, Key Deselected, R, never too rich and never too thin, never too r
22900, Key Selected, U, never too rich and never too thin, never too r
22929, Key Deselected, U, never too rich and never too thin, never too r
22933, Key Selected, I, never too rich and never too thin, never too r
23079, Key Deselected, I, never too rich and never too thin, never too r
23095, Key Deselected, I, never too rich and never too thin, never too r
23110, Key Deselected, I, never too rich and never too thin, never too r
23495, Key Deselected, I, never too rich and never too thin, never too r
23511, Key Press, I, never too rich and never too thin, never too r
23695, Pause Ended, I, never too rich and never too thin, never too ri
23713, Key Selected, I, never too rich and never too thin, never too ri
24128, Key Deselected, I, never too rich and never too thin, never too ri
24144, Key Deselected, I, never too rich and never too thin, never too ri
24162, Key Deselected, I, never too rich and never too thin, never too ri
24179, Key Deselected, I, never too rich and never too thin, never too ri
24195, Key Deselected, I, never too rich and never too thin, never too ri
24212, Key Deselected, I, never too rich and never too thin, never too ri
24228, Key Deselected, I, never too rich and never too thin, never too ri
24246, Key Deselected, I, never too rich and never too thin, never too ri
24262, Key Deselected, I, never too rich and never too thin, never too ri
24277, Key Deselected, I, never too rich and never too thin, never too ri
24293, Key Deselected, I, never too rich and never too thin, never too ri
24310, Key Deselected, I, never too rich and never too thin, never too ri
24326, Key Deselected, I, never too rich and never too thin, never too ri
24343, Key Deselected, I, never too rich and never too thin, never too ri
24360, Key Deselected, I, never too rich and never too thin, never too ri
24376, Key Deselected, I, never too rich and never too thin, never too ri
24393, Key Deselected, I, never too rich and never too thin, never too ri
24410, Key Deselected, I, never too rich and never too thin, never too ri
24426, Key Deselected, I, never too rich and never too thin, never too ri
24428, Key Selected, E, never too rich and never too thin, never too ri
24459, Key Deselected, E, never too rich and never too thin, never too ri
24461, Key Selected, C, never too rich and never too thin, never too ri
24628, Key Deselected, C, never too rich and never too thin, never too ri
24645, Key Deselected, C, never too rich and never too thin, never too ri
24928, Key Deselected, C, never too rich and never too thin, never too ri
24943, Key Deselected, C, never too rich and never too thin, never too ri
24960, Key Deselected, C, never too rich and never too thin, never too ri
24976, Key Deselected, C, never too rich and never too thin, never too ri
24993, Key Deselected, C, never too rich and never too thin, never too ri
25010, Key Deselected, C, never too rich and never too thin, never too ri
25027, Key Deselected, C, never too rich and never too thin, never too ri
25044, Key Deselected, C, never too rich and never too thin, never too ri
25060, Key Deselected, C, never too rich and never too thin, never too ri
25078, Key Deselected, C, never too rich and never too thin, never too ri
25094, Key Deselected, C, never too rich and never too thin, never too ri
25110, Key Press, C, never too rich and never too thin, never too ri
25228, Pause Ended, C, never too rich and never too thin, never too ric
25245, Key Selected, C, never too rich and never too thin, never too ric
25294, Key Deselected, C, never too rich and never too thin, never too ric
25309, Key Deselected, C, never too rich and never too thin, never too ric
25326, Key Deselected, C, never too rich and never too thin, never too ric
25343, Key Deselected, C, never too rich and never too thin, never too ric
25359, Key Deselected, C, never too rich and never too thin, never too ric
25376, Key Deselected, C, never too rich and never too thin, never too ric
25392, Key Deselected, C, never too rich and never too thin, never too ric
25409, Key Deselected, C, never too rich and never too thin, never too ric
25426, Key Deselected, C, never too rich and never too thin, never too ric
25441, Key Deselected, C, never too rich and never too thin, never too ric
25460, Key Deselected, C, never too rich and never too thin, never too ric
25476, Key Deselected, C, never too rich and never too thin, never too ric
25492, Key Deselected, C, never too rich and never too thin, never too ric
25509, Key Deselected, C, never too rich and never too thin, never too ric
25526, Key Deselected, C, never too rich and never too thin, never too ric
25543, Key Deselected, C, never too rich and never too thin, never too ric
25559, Key Deselected, C, never too rich and never too thin, never too ric
25577, Key Deselected, C, never too rich and never too thin, never too ric
25590, Key Deselected, C, never too rich and never too thin, never too ric
25608, Key Deselected, C, never too rich and never too thin, never too ric
25626, Key Deselected, C, never too rich and never too thin, never too ric
25644, Key Deselected, C, never too rich and never too thin, never too ric
25809, Key Press, C, never too rich and never too thin, never too ric
26011, Pause Ended, C, never too rich and never too thin, never too ricc
26427, Key Selected, Space, never too rich and never too thin, never too ricc
26461, Key Deselected, Space, never too rich and never too thin, never too ricc
26464, Key Selected, J, never too rich and never too thin, never too ricc
26611, Key Deselected, J, never too rich and never too thin, never too ricc
26615, Key Selected, Space, never too rich and never too thin, never too ricc
26826, Key Deselected, Space, never too rich and never too thin, never too ricc
26830, Key Selected, L, never too rich and never too thin, never too ricc
26844, Key Deselected, L, never too rich and never too thin, never too ricc
26848, Key Selected, P, never too rich and never too thin, never too ricc
26894, Key Deselected, P, never too rich and never too thin, never too ricc
26911, Key Deselected, P, never too rich and never too thin, never too ricc
26927, Key Deselected, P, never too rich and never too thin, never too ricc
26944, Key Deselected, P, never too rich and never too thin, never too ricc
26959, Key Deselected, P, never too rich and never too thin, never too ricc
26977, Key Deselected, P, never too rich and never too thin, never too ricc
26993, Key Deselected, P, never too rich and never too thin, never too ricc
27011, Key Deselected, P, never too rich and never too thin, never too ricc
27015, Key Selected, Back, never too rich and never too thin, never too ricc
27343, Key Deselected, Back, never too rich and never too thin, never too ricc
27359, Key Deselected, Back, never too rich and never too thin, never too ricc
27377, Key Deselected, Back, never too rich and never too thin, never too ricc
27393, Key Deselected, Back, never too rich and never too thin, never too ricc
27411, Key Deselected, Back, never too rich and never too thin, never too ricc
27426, Key Deselected, Back, never too rich and never too thin, never too ricc
27443, Key Deselected, Back, never too rich and never too thin, never too ricc
27458, Key Deselected, Back, never too rich and never too thin, never too ricc
27477, Key Deselected, Back, never too rich and never too thin, never too ricc
27493, Key Deselected, Back, never too rich and never too thin, never too ricc
27510, Key Deselected, Back, never too rich and never too thin, never too ricc
27526, Key Deselected, Back, never too rich and never too thin, never too ricc
27543, Key Deselected, Back, never too rich and never too thin, never too ricc
27559, Key Deselected, Back, never too rich and never too thin, never too ricc
27577, Key Deselected, Back, never too rich and never too thin, never too ricc
27593, Key Deselected, Back, never too rich and never too thin, never too ricc
27610, Key Deselected, Back, never too rich and never too thin, never too ricc
